actual,proposed
-1.7891957759857178,-1.5640455484390259
-1.7930307388305664,-1.791113257408142
-1.8006999492645264,-1.7930307388305664
-2.0170812606811523,-1.8006999492645264
-2.0213654041290283,-2.0170812606811523
-2.0235073566436768,-2.0213654041290283
-2.0235073566436768,-2.0235073566436768
-2.0235073566436768,-2.0235073566436768
-2.473745346069336,-2.473745346069336
-2.476341962814331,-2.473745346069336
-2.473745346069336,-2.476341962814331
-2.473745346069336,-2.473745346069336
-2.884892463684082,-2.473745346069336
-2.884892463684082,-2.884892463684082
-2.890901565551758,-2.884892463684082
-2.8939056396484375,-2.890901565551758
-2.8999130725860596,-2.8939056396484375
-3.110826253890991,-2.8939056396484375
-3.1076269149780273,-3.1076269149780273
-3.1076269149780273,-3.114025354385376
-3.464747428894043,-3.1076269149780273
-3.461209535598755,-3.1076269149780273
-3.461209535598755,-3.464747428894043
-3.4576711654663086,-3.461209535598755
-3.6787192821502686,-3.461209535598755
-3.6824653148651123,-3.6787192821502686
-3.6824653148651123,-3.6824653148651123
-3.880425453186035,-3.6824653148651123
-3.8725829124450684,-3.880425453186035
-3.8647384643554688,-3.8725829124450684
-3.8686609268188477,-3.8647384643554688
-3.8686609268188477,-3.8686609268188477
-3.8686609268188477,-3.8686609268188477
-4.00465202331543,-3.8686609268188477
-4.000600337982178,-4.008702278137207
-3.996548652648926,-4.000600337982178
-3.996548652648926,-3.996548652648926
-4.058136940002441,-4.058136940002441
-4.049910068511963,-4.058136940002441
-4.1889519691467285,-4.054023742675781
-4.1931915283203125,-4.049910068511963
-4.1931915283203125,-4.1931915283203125
-4.1931915283203125,-4.1931915283203125
-4.37698221206665,-4.1931915283203125
-4.37698221206665,-4.1931915283203125
-4.37698221206665,-4.37698221206665
-4.37698221206665,-4.37698221206665
-4.37698221206665,-4.37698221206665
-4.463987827301025,-4.37698221206665
-4.459506988525391,-4.463987827301025
-4.459506988525391,-4.459506988525391
-4.459506988525391,-4.459506988525391
-4.455025672912598,-4.459506988525391
-4.815515041351318,-4.455025672912598
-4.820308685302734,-4.815515041351318
-4.815515041351318,-4.820308685302734
-4.805923938751221,-4.820308685302734
-5.2202839851379395,-4.810719966888428
-5.204817771911621,-5.20997428894043
-5.204817771911621,-5.204817771911621
-5.19965934753418,-5.204817771911621
-5.446568489074707,-5.19965934753418
-5.441202640533447,-5.19965934753418
-5.441202640533447,-5.446568489074707
-5.441202640533447,-5.441202640533447
-5.690828323364258,-5.441202640533447
-5.685257911682129,-5.441202640533447
-5.690828323364258,-5.690828323364258
-5.679686069488525,-5.685257911682129
-5.679686069488525,-5.690828323364258
-5.9930572509765625,-5.679686069488525
-5.987244129180908,-5.9930572509765625
-5.981428623199463,-5.987244129180908
-5.987244129180908,-5.981428623199463
-6.31361722946167,-5.987244129180908
-6.301506042480469,-5.987244129180908
-6.301506042480469,-6.31361722946167
-6.28938627243042,-6.301506042480469
-6.283323287963867,-6.301506042480469
-6.610625743865967,-6.28938627243042
-6.604323387145996,-6.604323387145996
-6.604323387145996,-6.604323387145996
-6.591710090637207,-6.598017692565918
-6.822286128997803,-6.598017692565918
-6.81581974029541,-6.822286128997803
-6.8028788566589355,-6.81581974029541
-6.796403884887695,-6.8028788566589355
-6.796403884887695,-6.796403884887695
-7.20253324508667,-6.796403884887695
-7.195815563201904,-7.195815563201904
-7.195815563201904,-7.195815563201904
-7.195815563201904,-7.195815563201904
-7.376453876495361,-7.195815563201904
-7.376453876495361,-7.369630813598633
-7.362804889678955,-7.369630813598633
-7.464915752410889,-7.362804889678955
-7.437332630157471,-7.362804889678955
-7.437332630157471,-7.437332630157471
-7.451131343841553,-7.437332630157471
-7.612579822540283,-7.60559606552124
-7.626534461975098,-7.612579822540283
-7.626534461975098,-7.626534461975098
-7.619559288024902,-7.626534461975098
-7.762994289398193,-7.619559288024902
-7.755927085876465,-7.619559288024902
-7.755927085876465,-7.7700581550598145
-7.762994289398193,-7.755927085876465
-7.708244800567627,-7.755927085876465
-7.687028884887695,-7.762994289398193
-7.665777206420898,-7.762994289398193
-7.644491195678711,-7.616213798522949
-7.71612548828125,-7.616213798522949
-7.730384826660156,-7.701912879943848
-7.730384826660156,-7.716156482696533
-7.694705486297607,-7.694785118103027
-7.687557697296143,-7.659206390380859
-7.706593990325928,-7.63785982131958
-7.699423789978027,-7.635430812835693
-7.692249298095703,-7.6211676597595215
-7.706593990325928,-7.628293037414551
-7.77522087097168,-7.628293037414551
-7.768012523651123,-7.703671455383301
-7.77522087097168,-7.703671455383301
-7.782426357269287,-7.725186347961426
-7.877930164337158,-7.732355117797852
-7.8851752281188965,-7.834709644317627
-7.899653911590576,-7.856362819671631
-7.914114475250244,-7.885239601135254
-7.92133903503418,-7.906901836395264
-7.90435791015625,-7.92133903503418
-7.918760299682617,-7.90435791015625
-7.933145523071289,-7.918760299682617
-7.940331935882568,-7.933145523071289
-7.954692840576172,-7.940331935882568
-7.976202487945557,-7.954692840576172
-8.076990127563477,-8.0
-8.084179878234863,-8.0
-8.091364860534668,-8.0
-8.098546981811523,-8.0
-8.157495498657227,-8.0
-8.179054260253906,-8.0
-8.200573921203613,-8.0
-8.222055435180664,-8.0
-8.243497848510742,-8.0
-8.281332969665527,-8.0
-8.302766799926758,-8.0
-8.302766799926758,-8.0
-8.535489082336426,-8.0
-8.549919128417969,-8.0
-8.564332008361816,-8.0
-8.585914611816406,-8.0
-8.585914611816406,-8.0
-8.678116798400879,-8.0
-8.678116798400879,-8.0
-8.678116798400879,-8.0
-8.670896530151367,-8.0
-8.615765571594238,-8.0
-8.615765571594238,-8.0
-8.615765571594238,-8.0
-8.622970581054688,-8.0
-8.570172309875488,-8.0
-8.570172309875488,-8.0
-8.562996864318848,-8.0
-8.570172309875488,-8.0
-8.634302139282227,-8.0
-8.64867877960205,-8.0
-8.64867877960205,-8.0
-8.655858993530273,-8.0
-8.782989501953125,-8.0
-8.775749206542969,-8.0
-8.76850414276123,-8.0
-8.775749206542969,-8.0
-8.775749206542969,-8.0
-8.722200393676758,-8.0
-8.743842124938965,-8.0
-8.729418754577637,-8.0
-8.714977264404297,-8.0
-8.784004211425781,-8.0
-8.776740074157715,-8.0
-8.769472122192383,-8.0
-8.776740074157715,-8.0
-8.787860870361328,-8.0
-8.773295402526855,-8.0
-8.766005516052246,-8.0
-8.751410484313965,-8.0
-8.778533935546875,-8.0
-8.756478309631348,-8.0
-8.749115943908691,-8.0
-8.79182243347168,-8.0
-8.784445762634277,-8.0
-8.77706527709961,-8.0
-8.776637077331543,-8.0
-8.776637077331543,-8.0
-8.754488945007324,-8.0
-8.732295989990234,-8.0
-8.71284008026123,-8.0
-8.668272972106934,-8.0
-8.61605167388916,-8.0
-8.617321968078613,-8.0
-8.594791412353516,-8.0
-8.549592971801758,-8.0
-8.542043685913086,-8.0
-8.51936149597168,-8.0
-8.516014099121094,-8.0
-8.500802040100098,-8.0
-8.493188858032227,-8.0
-8.470318794250488,-8.0
-8.44764518737793,-8.0
-8.432341575622559,-8.0
-8.424683570861816,-8.0
-8.350308418273926,-8.0
-8.350308418273926,-8.0
-8.365584373474121,-8.0
-8.373214721679688,-8.0
-8.273563385009766,-8.0
-8.296099662780762,-8.0
-8.311100006103516,-8.0
-8.378911972045898,-8.0
-8.401322364807129,-8.0
-8.431137084960938,-8.0
-8.393301010131836,-8.0
-8.452363967895508,-8.0
-8.525768280029297,-8.0
-8.464110374450684,-8.0
-8.493075370788574,-8.0
-8.521966934204102,-8.0
-8.557978630065918,-8.0
-8.572351455688477,-8.0
-8.53104019165039,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.506413459777832,-8.0
-8.485000610351562,-8.0
-8.470703125,-8.0
-8.412928581237793,-8.0
-8.398649215698242,-8.0
-8.39150333404541,-8.0
-8.39150333404541,-8.0
-8.398649215698242,-8.0
-8.294936180114746,-8.0
-8.31629753112793,-8.0
-8.31629753112793,-8.0
-8.215087890625,-8.0
-8.208011627197266,-8.0
-8.215087890625,-8.0
-8.222160339355469,-8.0
-8.229228973388672,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.26047420501709,-8.0
-8.222904205322266,-8.0
-8.22994327545166,-8.0
-8.222904205322266,-8.0
-8.215862274169922,-8.0
-8.208462715148926,-8.0
-8.208462715148926,-8.0
-8.180264472961426,-8.0
-8.166141510009766,-8.0
-8.026017189025879,-8.0
-8.005006790161133,-8.0
-7.99098014831543,-8.0
-7.976938247680664,-7.99098014831543
-7.856727123260498,-7.849761962890625
-7.856727123260498,-7.856727123260498
-7.842792987823486,-7.842792987823486
-7.842792987823486,-7.842792987823486
-7.726785182952881,-7.842792987823486
-7.726785182952881,-7.842792987823486
-7.726785182952881,-7.726785182952881
-7.699121475219727,-7.726785182952881
-7.685266971588135,-7.699121475219727
-7.526437282562256,-7.685266971588135
-7.498922348022461,-7.498922348022461
-7.478249549865723,-7.498922348022461
-7.436807155609131,-7.457544326782227
-7.252095699310303,-7.436807155609131
-7.231594562530518,-7.231594562530518
-7.2179107666015625,-7.197473526000977
-7.211063861846924,-7.17700719833374
-7.1836419105529785,-7.142867565155029
-6.997929573059082,-7.11561918258667
-6.984393119812012,-7.095147609710693
-6.970844745635986,-6.870758056640625
-6.9640655517578125,-6.850658893585205
-6.943708419799805,-6.823847770690918
-6.936916351318359,-6.797079086303711
-6.732686996459961,-6.783692836761475
-6.712690830230713,-6.569554328918457
-6.69266939163208,-6.5499067306518555
-6.6859893798828125,-6.5237016677856445
-6.561649799346924,-6.484462261199951
-6.568248271942139,-6.375771522521973
-6.568248271942139,-6.375771522521973
-6.561649799346924,-6.369315147399902
-6.493385314941406,-6.27701997756958
-6.525912284851074,-6.347264766693115
-6.545396327972412,-6.392059326171875
-6.564855575561523,-6.44969367980957
-6.496432304382324,-6.50738000869751
-6.5410990715026855,-6.50738000869751
-6.566566467285156,-6.528378486633301
-6.579283714294434,-6.566566467285156
-6.451158046722412,-6.566566467285156
-6.476119518280029,-6.579283714294434
-6.494815349578857,-6.579283714294434
-6.507266521453857,-6.494815349578857
-6.532139778137207,-6.507266521453857
-6.363232135772705,-6.532139778137207
-6.381467342376709,-6.363232135772705
-6.39968204498291,-6.381467342376709
-6.411813735961914,-6.39968204498291
-6.429994106292725,-6.411813735961914
-6.442340850830078,-6.429994106292725
-6.454428195953369,-6.442340850830078
-6.466506004333496,-6.460468292236328
-6.478574275970459,-6.466506004333496
-6.427638530731201,-6.478574275970459
-6.433621883392334,-6.427638530731201
-6.433621883392334,-6.433621883392334
-6.445581912994385,-6.439602851867676
-6.439602851867676,-6.439602851867676
-6.332334995269775,-6.439602851867676
-6.338240146636963,-6.439602851867676
-6.344143390655518,-6.338240146636963
-6.332334995269775,-6.344143390655518
-6.251317024230957,-6.332334995269775
-6.257165908813477,-6.251317024230957
-6.257165908813477,-6.257165908813477
-6.245466232299805,-6.257165908813477
-6.154409408569336,-6.154409408569336
